Metric,Value
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.0
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.0
timing__hold__ws__corner:max_ff_n40C_1v95,1.399412514367674
timing__setup__ws__corner:max_ff_n40C_1v95,3.6685167053597905
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,4
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,4
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.78963
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.7992
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0103685
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0108854
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000799478
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0108854
design_powergrid__voltage__worst,0.0108854
design_powergrid__voltage__worst__net:VPWR,1.78963
design_powergrid__drop__worst,0.0108854
design_powergrid__drop__worst__net:VPWR,0.0103685
design_powergrid__voltage__worst__net:VGND,0.0108854
design_powergrid__drop__worst__net:VGND,0.0108854
ir__voltage__worst,1.79000000000000003552713678800500929355621337890625
ir__drop__avg,0.000797999999999999989723498128313394772703759372234344482421875
ir__drop__worst,0.010399999999999999522604099411182687617838382720947265625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
