net,length_um
net352,156.73µm
net630,156.4µm
net556,156.39µm
_06633_,156.04µm
net247,155.89µm
net355,155.78µm
_03457_,155.64µm
net712,155.07µm
_01610_,155µm
net40,154.9µm
net311,154.64µm
net407,154.625µm
net298,154.175µm
net92,153.69µm
net351,153.5µm
net267,153.275µm
net255,152.96µm
net96,152.7µm
net58,152.57µm
net582,152.14µm
net136,151.54µm
net621,151.45µm
net856,151.17µm
net374,150.81µm
net37,150.69µm
_05285_,150.46µm
net623,149.96µm
net637,149.34µm
net697,148.17µm
net375,148µm
net680,147.21µm
net437,146.86µm
net254,146.66µm
net36,145.95µm
net619,145.82µm
_01611_,145.2µm
net252,143.98µm
_04303_,142.86µm
net649,142.71µm
net249,142.45µm
net687,140.93µm
net349,140.75µm
net126,140.21µm
net348,139.81µm
net61,139.4µm
net524,139.34µm
net628,139.3µm
net702,138.93µm
net83,138.66µm
net651,138.52µm
net329,138.47µm
net654,138.38µm
net487,137.97µm
net578,137.81µm
net852,137.66µm
net647,137.44µm
net19,137.42µm
net74,137.4µm
net588,136.96µm
net302,136.035µm
net366,135.955µm
net332,135.9µm
net64,135.75µm
net250,135.52µm
net595,135.42µm
net484,135.05µm
_03427_,134.73µm
net33,134.72µm
net76,134.56µm
net579,134.555µm
_06174_,134.32µm
net26,134.16µm
net361,133.955µm
net313,132.965µm
net625,132.44µm
net307,132.24µm
net519,131.82µm
net670,131.4µm
net589,131.17µm
net386,131.14µm
_05476_,131.04µm
net711,130.255µm
net65,130.18µm
net106,129.66µm
net248,129.46µm
net34,129.41µm
net379,129.19µm
net54,128.385µm
clknet_3_3__leaf_clk,128.26µm
net470,127.92µm
net580,127.7µm
net85,126.8µm
net251,126.64µm
net459,126.14µm
net129,125.85µm
_03426_,125.72µm
net462,125.38µm
net87,124.54µm
net260,123.95µm
net545,123.44µm
net122,123.095µm
net458,122.98µm
net116,122.59µm
net661,121.69µm
net97,121.48µm
net665,121.32µm
net82,121.08µm
net343,121.01µm
net463,120.4µm
_01581_,120.11µm
_06803_,120.04µm
net28,119.71µm
net454,119.59µm
net610,119.52µm
net705,119.275µm
net286,119.02µm
net13,118.78µm
net88,118.6µm
net609,118.54µm
net585,117.76µm
net270,117.75µm
net990,117.66µm
_01768_,117.22µm
net59,117.08µm
net67,116.87µm
net642,116.62µm
net495,116.6µm
net700,116.08µm
_00676_,115.84µm
net91,115.82µm
net18,115.595µm
net14,115.54µm
net488,115.49µm
net360,115.4µm
net21,115.37µm
_03617_,115.16µm
net39,114.91µm
net35,114.78µm
net483,114.58µm
net474,114.33µm
net713,114.31µm
net16,114.18µm
net15,114.1µm
net493,113.92µm
net359,112.425µm
net367,112.12µm
net51,111.67µm
net10,111.46µm
net467,111.3µm
net690,111.26µm
_06164_,111.22µm
_02056_,110.74µm
net701,110.415µm
net274,110.16µm
net438,110.11µm
net526,110.02µm
clknet_3_6__leaf_clk,109.78µm
net557,109.4µm
net123,109.26µm
net434,109.18µm
net62,109.06µm
net9,109.04µm
net433,108.98µm
net246,108.59µm
net49,108.25µm
net475,108.14µm
net455,108.12µm
_00553_,108.04µm
net98,108.04µm
net81,107.98µm
_01365_,107.96µm
net305,107.69µm
net166,107.44µm
net451,107.44µm
net496,107.38µm
net115,107.36µm
net450,107.36µm
_06804_,107.14µm
net501,107.07µm
net60,106.74µm
net540,106.625µm
net169,106.48µm
_00377_,106.16µm
_00044_,105.76µm
_04298_,105.59µm
_05826_,105.48µm
net424,105.3µm
net99,105.2µm
net423,105.2µm
_01387_,105.16µm
net549,104.62µm
net362,103.89µm
net124,103.82µm
net168,103.6µm
net219,103.26µm
net492,102.82µm
_02057_,102.6µm
net331,102.59µm
net108,102.54µm
_01726_,102.42µm
_06026_,102.24µm
net444,100.62µm
net394,100.355µm
net167,99.62µm
net306,99.565µm
net663,99.355µm
net3,98.98µm
net2,98.74µm
net77,98.36µm
net287,98.22µm
net53,97.5µm
net573,97.5µm
net590,97.155µm
net218,96.94µm
net220,96.86µm
net131,96.74µm
net515,96.58µm
net55,96.28µm
net447,96.07µm
net324,94.88µm
net94,94.55µm
_06801_,94.16µm
net127,94.1µm
net577,93.32µm
net596,92.9µm
net57,92.44µm
net481,92.2µm
_03964_,91.94µm
net504,91.84µm
net385,91.2µm
net284,90.82µm
net80,90.56µm
net158,89.42µm
net570,89.27µm
net431,88.88µm
net530,88.33µm
net342,88.16µm
net79,87.93µm
_06408_,87.9µm
net337,87.27µm
net89,86.82µm
_01893_,86.24µm
net425,85.515µm
net159,85.26µm
net27,84.48µm
