net,length_um
_00029_,24.78µm
_02128_,24.78µm
_03121_,24.76µm
_03114_,24.72µm
_06574_,24.72µm
_00669_,24.71µm
_06511_,24.7µm
_06062_,24.66µm
_03184_,24.605µm
_00316_,24.6µm
_01963_,24.6µm
_02234_,24.6µm
_05558_,24.6µm
_06320_,24.6µm
_04183_,24.59µm
_02286_,24.56µm
_01200_,24.54µm
_01764_,24.54µm
_01582_,24.52µm
_05016_,24.48µm
_00345_,24.44µm
_05247_,24.44µm
_02161_,24.38µm
_03696_,24.38µm
_01010_,24.36µm
_04345_,24.34µm
_04795_,24.3µm
_06466_,24.3µm
_06799_,24.3µm
_02232_,24.28µm
_02616_,24.28µm
_00243_,24.26µm
_06498_,24.26µm
_02797_,24.24µm
_03644_,24.24µm
_05166_,24.24µm
_01184_,24.23µm
_05472_,24.22µm
_00002_,24.2µm
_03863_,24.2µm
_04029_,24.2µm
_05792_,24.2µm
_03693_,24.18µm
_03855_,24.18µm
_02512_,24.14µm
_02895_,24.11µm
_02215_,24.1µm
_05353_,24.06µm
_00697_,24.035µm
_02076_,24.03µm
_01084_,24.02µm
_01526_,24.02µm
_05699_,24.02µm
_00779_,24µm
_03849_,24µm
_01337_,23.98µm
_04148_,23.98µm
_04955_,23.98µm
_05128_,23.96µm
_02298_,23.94µm
_03035_,23.94µm
_04041_,23.9µm
_00614_,23.88µm
_05867_,23.88µm
_02777_,23.875µm
_05201_,23.84µm
_02224_,23.82µm
_04903_,23.82µm
_00672_,23.79µm
_01872_,23.78µm
_01271_,23.765µm
_04379_,23.76µm
_04486_,23.76µm
_04413_,23.74µm
_02557_,23.72µm
_04122_,23.72µm
_04211_,23.72µm
_06489_,23.72µm
_02340_,23.7µm
_02960_,23.7µm
net240,23.69µm
_01358_,23.685µm
_02667_,23.66µm
_05375_,23.65µm
_00428_,23.64µm
_03176_,23.64µm
_02587_,23.62µm
_05048_,23.62µm
_05177_,23.62µm
_01789_,23.58µm
_00277_,23.56µm
_05334_,23.56µm
_00001_,23.54µm
_04361_,23.54µm
_01233_,23.52µm
_02259_,23.52µm
_02783_,23.52µm
_05544_,23.52µm
_01686_,23.5µm
_02983_,23.5µm
_04172_,23.5µm
_01839_,23.46µm
_04277_,23.46µm
_04459_,23.42µm
_02463_,23.4µm
_06034_,23.4µm
_02807_,23.38µm
_05399_,23.38µm
_02511_,23.36µm
_03060_,23.36µm
_00682_,23.34µm
_02003_,23.3µm
_06496_,23.26µm
_00693_,23.24µm
_05011_,23.22µm
_01844_,23.2µm
_03322_,23.2µm
_04632_,23.2µm
_01799_,23.16µm
_03095_,23.14µm
_01191_,23.1µm
_05165_,23.1µm
_03689_,23.09µm
_04574_,23.08µm
_00561_,23.04µm
_03199_,23.025µm
_06564_,23.02µm
_04933_,23.01µm
_01182_,22.98µm
_02099_,22.98µm
_03920_,22.96µm
_03642_,22.94µm
_04560_,22.94µm
_00533_,22.92µm
_03698_,22.92µm
_00275_,22.88µm
_03880_,22.88µm
_03707_,22.87µm
_00880_,22.86µm
_03791_,22.85µm
_05407_,22.84µm
_06124_,22.82µm
_00361_,22.8µm
_04282_,22.8µm
_03623_,22.74µm
_00597_,22.72µm
_02139_,22.72µm
_02351_,22.72µm
_01959_,22.71µm
_01082_,22.66µm
_01399_,22.66µm
_02603_,22.64µm
_05502_,22.64µm
_05418_,22.62µm
_05892_,22.62µm
_05609_,22.6µm
_06042_,22.6µm
_00122_,22.58µm
_04562_,22.58µm
_03352_,22.54µm
_01220_,22.52µm
_02407_,22.5µm
_05401_,22.5µm
_00673_,22.48µm
_04900_,22.48µm
_01860_,22.46µm
_03525_,22.46µm
_04910_,22.45µm
_02230_,22.4µm
_02547_,22.4µm
_05947_,22.4µm
_03695_,22.38µm
_03515_,22.34µm
_02381_,22.26µm
_04580_,22.26µm
_04948_,22.26µm
_06428_,22.26µm
_06674_,22.26µm
_03104_,22.24µm
_04873_,22.24µm
_00560_,22.22µm
_01210_,22.22µm
_02816_,22.22µm
_02996_,22.22µm
_03599_,22.22µm
_00207_,22.2µm
_01015_,22.2µm
_03859_,22.2µm
_00998_,22.16µm
_06718_,22.16µm
_00412_,22.15µm
_04112_,22.14µm
_05598_,22.14µm
_06738_,22.14µm
_01219_,22.12µm
_03027_,22.12µm
_04181_,22.1µm
_04940_,22.1µm
_00678_,22.04µm
_02598_,22.04µm
_04004_,22.04µm
_06128_,22.04µm
_06281_,22.04µm
_04470_,22.02µm
_00946_,21.98µm
_04000_,21.96µm
_06592_,21.95µm
_02181_,21.93µm
_00414_,21.92µm
_04879_,21.905µm
_00278_,21.88µm
_03256_,21.88µm
_01244_,21.8µm
_04156_,21.8µm
_00063_,21.78µm
_01044_,21.78µm
_02712_,21.7µm
_02743_,21.7µm
_03351_,21.7µm
_04878_,21.7µm
net234,21.7µm
_03195_,21.68µm
_02021_,21.66µm
_06554_,21.66µm
_02652_,21.62µm
_03059_,21.62µm
_03570_,21.62µm
_01795_,21.6µm
_01221_,21.58µm
_00724_,21.56µm
_02979_,21.54µm
_06639_,21.54µm
_06691_,21.54µm
_04019_,21.52µm
_04530_,21.52µm
_06807_,21.52µm
_01823_,21.5µm
_00656_,21.49µm
_05190_,21.48µm
_05202_,21.48µm
_03235_,21.47µm
_00915_,21.46µm
_00393_,21.44µm
_00366_,21.43µm
_03334_,21.38µm
_01468_,21.37µm
_03861_,21.36µm
_05212_,21.36µm
_06713_,21.36µm
_01931_,21.34µm
_00163_,21.32µm
_05178_,21.32µm
_02947_,21.3µm
_03652_,21.3µm
_04348_,21.3µm
_00326_,21.28µm
_01862_,21.28µm
_04333_,21.28µm
_06422_,21.28µm
_00494_,21.26µm
_01266_,21.24µm
_04545_,21.24µm
_05634_,21.23µm
_01559_,21.22µm
_02771_,21.2µm
_05244_,21.2µm
_03290_,21.18µm
_03781_,21.16µm
_05055_,21.16µm
_04924_,21.15µm
_02188_,21.13µm
_00502_,21.12µm
_01629_,21.12µm
_04654_,21.12µm
_05911_,21.12µm
_06575_,21.12µm
_04231_,21.1µm
_05231_,21.06µm
_00089_,21.02µm
_03041_,21.02µm
_04329_,21µm
_04382_,20.97µm
_00343_,20.92µm
_00896_,20.92µm
_01286_,20.92µm
_01683_,20.92µm
_03479_,20.92µm
_06562_,20.92µm
_02044_,20.9µm
_06445_,20.9µm
_05224_,20.88µm
_02318_,20.865µm
_03261_,20.86µm
_04312_,20.84µm
_06261_,20.84µm
_06513_,20.84µm
_01538_,20.835µm
_01765_,20.8µm
_04851_,20.8µm
_03029_,20.795µm
_00986_,20.78µm
_02414_,20.78µm
_01497_,20.76µm
_03006_,20.76µm
_05384_,20.76µm
_03191_,20.74µm
_06550_,20.74µm
_00075_,20.71µm
_00659_,20.7µm
_01603_,20.7µm
_02055_,20.7µm
_02657_,20.68µm
_05170_,20.68µm
_05935_,20.66µm
_01372_,20.62µm
_03988_,20.62µm
_01419_,20.6µm
_03001_,20.6µm
net209,20.58µm
_00639_,20.56µm
_02688_,20.545µm
_01408_,20.54µm
_04586_,20.54µm
_06147_,20.54µm
_02906_,20.52µm
_03685_,20.52µm
_02919_,20.5µm
_00308_,20.48µm
_02461_,20.46µm
_03303_,20.46µm
_00801_,20.44µm
_01480_,20.42µm
_04666_,20.42µm
_01245_,20.4µm
_02204_,20.4µm
_02719_,20.4µm
_04539_,20.4µm
_05380_,20.4µm
_05402_,20.4µm
_02672_,20.38µm
_03542_,20.38µm
_04892_,20.38µm
_05985_,20.36µm
net145,20.36µm
_01718_,20.34µm
_00556_,20.3µm
_01845_,20.3µm
_04442_,20.3µm
_05561_,20.3µm
_06238_,20.29µm
_04368_,20.28µm
_01926_,20.27µm
_02361_,20.24µm
_03057_,20.2µm
_03566_,20.2µm
_03910_,20.2µm
_05132_,20.2µm
_01298_,20.18µm
_03014_,20.16µm
_05655_,20.16µm
_00636_,20.12µm
_02991_,20.12µm
_01096_,20.1µm
_00129_,20.08µm
_02902_,20.06µm
_00894_,20.04µm
_03225_,20.04µm
_03613_,20.04µm
_05661_,20.04µm
net603,20.02µm
_01485_,20µm
_03359_,20µm
_02681_,19.99µm
_03250_,19.98µm
_06184_,19.97µm
_05027_,19.96µm
_02182_,19.94µm
_01291_,19.92µm
_01758_,19.92µm
_04991_,19.92µm
_00203_,19.89µm
_04449_,19.88µm
_01064_,19.84µm
_01231_,19.84µm
_02278_,19.84µm
_05780_,19.84µm
_06414_,19.84µm
_03321_,19.79µm
_00911_,19.78µm
_06567_,19.78µm
_04189_,19.765µm
_00968_,19.76µm
_02200_,19.76µm
_03579_,19.76µm
_01834_,19.72µm
_06043_,19.72µm
_02456_,19.7µm
_01868_,19.695µm
_01840_,19.68µm
_05864_,19.665µm
_02499_,19.64µm
_02604_,19.64µm
_00540_,19.62µm
_06447_,19.62µm
_00518_,19.58µm
_01762_,19.58µm
_00825_,19.56µm
_03238_,19.54µm
_01090_,19.5µm
_06741_,19.5µm
_00643_,19.495µm
_05033_,19.48µm
_01347_,19.44µm
_01185_,19.4µm
_03339_,19.38µm
_01615_,19.36µm
_02032_,19.36µm
_05222_,19.36µm
_03338_,19.34µm
_04318_,19.32µm
_02075_,19.3µm
_02164_,19.28µm
_05650_,19.255µm
_06230_,19.23µm
_06075_,19.2µm
_04330_,19.19µm
_00544_,19.16µm
_06300_,19.16µm
_00134_,19.14µm
_00637_,19.12µm
_04232_,19.12µm
_05053_,19.12µm
_00737_,19.1µm
_03091_,19.06µm
_05295_,19.06µm
_02151_,19.04µm
_03350_,19.04µm
_03872_,19.04µm
_04772_,19.04µm
_04895_,19.04µm
_05398_,19.04µm
_06561_,19.04µm
_01384_,19.02µm
_01972_,19.02µm
_02372_,19.02µm
_03177_,19.01µm
_06324_,19.005µm
_00897_,18.96µm
_03526_,18.94µm
_04281_,18.94µm
_04302_,18.94µm
_06101_,18.94µm
_06351_,18.94µm
_06133_,18.92µm
_05049_,18.9µm
_06682_,18.88µm
_02958_,18.86µm
_01319_,18.8µm
_01710_,18.8µm
_03996_,18.8µm
_02923_,18.78µm
_03320_,18.78µm
_02250_,18.77µm
_00152_,18.76µm
_01003_,18.76µm
_01822_,18.75µm
_06439_,18.745µm
_03129_,18.74µm
_05934_,18.74µm
_04002_,18.735µm
_05264_,18.725µm
_00828_,18.72µm
_04003_,18.7µm
_01406_,18.66µm
_01902_,18.66µm
_03393_,18.66µm
_05862_,18.66µm
_02123_,18.64µm
_06389_,18.64µm
_02560_,18.6µm
_05441_,18.6µm
_00788_,18.58µm
_04266_,18.54µm
_03867_,18.52µm
_02272_,18.5µm
_02605_,18.5µm
_05670_,18.5µm
net855,18.5µm
_05880_,18.48µm
_06010_,18.48µm
_01060_,18.46µm
_01165_,18.46µm
_01504_,18.46µm
_01688_,18.46µm
_01515_,18.44µm
_03034_,18.44µm
_03802_,18.44µm
_04121_,18.44µm
_05547_,18.44µm
net143,18.44µm
_01491_,18.42µm
_00922_,18.4µm
_01326_,18.4µm
_01357_,18.4µm
_05090_,18.4µm
_03869_,18.38µm
_06505_,18.38µm
_01669_,18.36µm
_04155_,18.36µm
_05545_,18.36µm
_03714_,18.35µm
_03971_,18.34µm
_05077_,18.3µm
_05254_,18.28µm
_00596_,18.26µm
_04912_,18.24µm
_01731_,18.22µm
_02526_,18.22µm
_05015_,18.22µm
_01142_,18.215µm
_00290_,18.2µm
_04263_,18.2µm
_05503_,18.2µm
_02554_,18.185µm
_02990_,18.18µm
_05349_,18.18µm
_01217_,18.16µm
_02115_,18.16µm
net236,18.16µm
x2[3],18.14µm
net229,18.14µm
_06218_,18.12µm
_06734_,18.12µm
_04431_,18.1µm
_04786_,18.1µm
_06652_,18.1µm
_03170_,18.08µm
_03632_,18.08µm
_03850_,18.08µm
_02994_,18.06µm
_06270_,18.06µm
_01473_,18.05µm
_00170_,18.04µm
_03835_,18.04µm
_06388_,18.04µm
_00947_,18.02µm
_01295_,18.02µm
_01744_,18µm
_01745_,18µm
_04042_,18µm
_06557_,18µm
_04857_,17.98µm
_05309_,17.98µm
_05505_,17.96µm
_04391_,17.94µm
_06052_,17.925µm
_01520_,17.92µm
_01258_,17.9µm
_03943_,17.9µm
_05059_,17.9µm
_01162_,17.89µm
_00794_,17.86µm
_03731_,17.86µm
_04180_,17.86µm
_06457_,17.86µm
_04603_,17.84µm
_06644_,17.825µm
_00900_,17.82µm
_03164_,17.82µm
_04847_,17.82µm
_04872_,17.82µm
_05744_,17.82µm
_06551_,17.82µm
_04853_,17.8µm
_01499_,17.78µm
_01927_,17.76µm
_04021_,17.76µm
_00793_,17.74µm
_06773_,17.74µm
_06766_,17.73µm
_01094_,17.72µm
_01849_,17.72µm
_02087_,17.72µm
_00080_,17.7µm
_03047_,17.7µm
_05559_,17.7µm
_00131_,17.695µm
_01627_,17.68µm
_05124_,17.68µm
_05724_,17.68µm
_03043_,17.66µm
_03517_,17.66µm
_04027_,17.66µm
_06364_,17.65µm
_03122_,17.64µm
_03148_,17.64µm
_04983_,17.64µm
_02824_,17.62µm
_04022_,17.62µm
_05490_,17.62µm
_04505_,17.6µm
_04775_,17.6µm
_04899_,17.6µm
_05453_,17.6µm
_00866_,17.56µm
_05466_,17.56µm
_00341_,17.54µm
_05878_,17.54µm
_00004_,17.52µm
_01211_,17.52µm
_03857_,17.52µm
_04556_,17.52µm
_06456_,17.52µm
_00923_,17.5µm
_01858_,17.5µm
_00542_,17.48µm
_02443_,17.48µm
_03520_,17.48µm
_06464_,17.47µm
_04430_,17.46µm
_05157_,17.46µm
_01283_,17.45µm
_01687_,17.44µm
_03768_,17.44µm
_04564_,17.44µm
_05297_,17.44µm
_04473_,17.42µm
_04377_,17.4µm
_05566_,17.4µm
_05750_,17.4µm
_05969_,17.4µm
_00232_,17.38µm
_05028_,17.38µm
_03291_,17.36µm
_04032_,17.36µm
_04852_,17.36µm
_05313_,17.36µm
_02380_,17.34µm
_02475_,17.34µm
_02002_,17.32µm
_02636_,17.32µm
_04551_,17.32µm
_04601_,17.3µm
_05784_,17.3µm
x1[4],17.3µm
_00094_,17.28µm
_01700_,17.28µm
_02273_,17.28µm
_06134_,17.28µm
_01150_,17.26µm
_06122_,17.26µm
_02301_,17.24µm
_06524_,17.22µm
_06368_,17.21µm
_01836_,17.2µm
_02324_,17.2µm
_02696_,17.2µm
_03383_,17.2µm
_01203_,17.18µm
_03314_,17.16µm
_03953_,17.16µm
_06553_,17.16µm
_01634_,17.14µm
_03135_,17.14µm
_03688_,17.14µm
_03719_,17.105µm
_03548_,17.1µm
_05633_,17.1µm
_06129_,17.1µm
_02686_,17.085µm
_00859_,17.08µm
net138,17.08µm
_06730_,17.07µm
_01727_,17.065µm
_00124_,17.06µm
_03179_,17.06µm
_05889_,17.06µm
_04756_,17.04µm
_05040_,17.04µm
_05114_,17.04µm
_01548_,17.02µm
_01888_,17.02µm
_01983_,17.02µm
_02177_,17.02µm
_03064_,17.02µm
_00150_,17µm
_03641_,17µm
x2[6],17µm
_05790_,16.98µm
_06027_,16.98µm
_05289_,16.95µm
_01154_,16.94µm
_05137_,16.94µm
_00195_,16.92µm
_03138_,16.92µm
_03305_,16.92µm
_00634_,16.9µm
_00663_,16.9µm
_01647_,16.9µm
_04045_,16.9µm
_05000_,16.9µm
_06250_,16.9µm
net214,16.9µm
net725,16.9µm
_01924_,16.88µm
_03152_,16.88µm
_05023_,16.88µm
_00646_,16.86µm
_02934_,16.86µm
_04925_,16.86µm
_05013_,16.86µm
_05628_,16.86µm
_06223_,16.86µm
_06555_,16.86µm
net738,16.86µm
_00966_,16.84µm
_03413_,16.84µm
_03333_,16.82µm
_03528_,16.78µm
_05734_,16.78µm
_00426_,16.74µm
_01110_,16.74µm
_01783_,16.74µm
_04796_,16.74µm
_05025_,16.74µm
_01209_,16.72µm
_01216_,16.72µm
_02537_,16.72µm
_05599_,16.72µm
_06724_,16.72µm
_03133_,16.7µm
_04870_,16.7µm
_06733_,16.7µm
_01194_,16.66µm
_01505_,16.66µm
_00644_,16.62µm
_01666_,16.62µm
_02634_,16.62µm
_03587_,16.62µm
_04905_,16.62µm
_03036_,16.58µm
_04710_,16.58µm
_06540_,16.58µm
_01747_,16.56µm
_02698_,16.56µm
_03713_,16.56µm
_04146_,16.56µm
_04428_,16.56µm
net210,16.56µm
_01115_,16.54µm
_01498_,16.52µm
_03700_,16.52µm
_01072_,16.5µm
_01424_,16.5µm
_03404_,16.5µm
_00557_,16.48µm
_02297_,16.48µm
_03890_,16.48µm
_04359_,16.48µm
_05204_,16.48µm
_03288_,16.44µm
_04177_,16.44µm
_04412_,16.44µm
_06363_,16.44µm
_00973_,16.42µm
_01138_,16.42µm
_02770_,16.42µm
_04360_,16.405µm
_03694_,16.4µm
_04127_,16.4µm
_05469_,16.4µm
_05833_,16.4µm
_00121_,16.38µm
_00333_,16.38µm
_06093_,16.38µm
net206,16.38µm
net227,16.38µm
_01059_,16.36µm
_03532_,16.36µm
_04739_,16.36µm
_06137_,16.36µm
_00658_,16.34µm
_03474_,16.32µm
_03609_,16.32µm
_03915_,16.32µm
_04675_,16.32µm
_04854_,16.32µm
_01163_,16.3µm
_01396_,16.3µm
_05041_,16.3µm
_00534_,16.28µm
_02024_,16.28µm
_02186_,16.28µm
_02445_,16.28µm
_00549_,16.26µm
_04838_,16.26µm
_05312_,16.26µm
_05044_,16.24µm
_00413_,16.22µm
_01278_,16.22µm
_05488_,16.22µm
_06603_,16.22µm
_00138_,16.2µm
_05043_,16.2µm
_00657_,16.18µm
_00780_,16.18µm
_01331_,16.18µm
_03013_,16.18µm
_03433_,16.18µm
_04389_,16.18µm
_04859_,16.18µm
net140,16.18µm
_03136_,16.16µm
_06519_,16.16µm
_00981_,16.14µm
_01304_,16.14µm
_06700_,16.11µm
_04378_,16.1µm
_05376_,16.1µm
_02908_,16.08µm
_02956_,16.08µm
_03105_,16.06µm
_05640_,16.06µm
net734,16.06µm
_01488_,16.04µm
_01794_,16.04µm
_01657_,16.02µm
_04173_,16.02µm
_04803_,16.01µm
_01166_,16µm
_01679_,16µm
_03904_,15.98µm
_00133_,15.96µm
_04289_,15.96µm
_05171_,15.96µm
_05347_,15.96µm
_02371_,15.94µm
_04946_,15.94µm
_03809_,15.935µm
_03452_,15.92µm
net178,15.92µm
_05576_,15.915µm
_02160_,15.9µm
_03874_,15.9µm
_05501_,15.9µm
_06761_,15.9µm
_05629_,15.88µm
_00648_,15.86µm
_06278_,15.86µm
_02873_,15.84µm
_05738_,15.83µm
_06339_,15.825µm
_00920_,15.82µm
_02390_,15.82µm
_01448_,15.8µm
_04157_,15.8µm
_05125_,15.8µm
_05223_,15.8µm
_05914_,15.8µm
_05084_,15.79µm
_02619_,15.78µm
_03877_,15.78µm
_06393_,15.78µm
_06500_,15.78µm
_00539_,15.76µm
_00842_,15.76µm
_01093_,15.76µm
_02468_,15.76µm
_03040_,15.76µm
_03762_,15.76µm
_05866_,15.76µm
_01181_,15.75µm
_00149_,15.74µm
_06469_,15.74µm
_00952_,15.72µm
_04103_,15.72µm
_04683_,15.72µm
_04849_,15.72µm
_06566_,15.72µm
_01804_,15.7µm
_04880_,15.7µm
_05789_,15.7µm
y1[9],15.7µm
_01267_,15.68µm
_02700_,15.68µm
_02779_,15.68µm
_02853_,15.68µm
_03025_,15.68µm
_03317_,15.68µm
_04867_,15.68µm
_05167_,15.68µm
_05809_,15.68µm
_00692_,15.66µm
_05749_,15.64µm
_05993_,15.64µm
_01759_,15.62µm
_04171_,15.6µm
_03881_,15.59µm
_01379_,15.58µm
_01637_,15.58µm
_03503_,15.58µm
_05036_,15.58µm
y0[13],15.58µm
_04517_,15.56µm
_04935_,15.56µm
_05907_,15.56µm
_01330_,15.555µm
_06313_,15.54µm
_02903_,15.52µm
_04858_,15.52µm
_06072_,15.5µm
_01156_,15.48µm
_03594_,15.48µm
_04365_,15.48µm
_04722_,15.48µm
_05341_,15.48µm
_04009_,15.46µm
w11[4],15.46µm
_01134_,15.44µm
_03606_,15.44µm
_04425_,15.44µm
_05068_,15.44µm
_05741_,15.44µm
_01704_,15.42µm
_03999_,15.42µm
_00806_,15.4µm
_03119_,15.4µm
_05152_,15.38µm
net213,15.38µm
_03346_,15.36µm
_03648_,15.36µm
_06479_,15.36µm
_01549_,15.34µm
_01694_,15.32µm
_01106_,15.3µm
_01356_,15.3µm
_04455_,15.3µm
_04513_,15.3µm
_01380_,15.28µm
_06289_,15.28µm
_06481_,15.27µm
_02694_,15.26µm
_02993_,15.26µm
_06509_,15.26µm
_02582_,15.24µm
_03559_,15.24µm
_03711_,15.24µm
_04871_,15.24µm
_05214_,15.24µm
_05667_,15.24µm
_05815_,15.24µm
_05442_,15.23µm
_02300_,15.22µm
_03841_,15.22µm
_05600_,15.22µm
w12[6],15.22µm
_01998_,15.2µm
_01796_,15.16µm
_03358_,15.16µm
y2[10],15.16µm
_02341_,15.14µm
_03058_,15.14µm
_03107_,15.14µm
_05417_,15.14µm
_06425_,15.14µm
_00753_,15.12µm
_01227_,15.12µm
_03830_,15.12µm
_01571_,15.1µm
_02104_,15.1µm
_05588_,15.08µm
_06074_,15.06µm
_02307_,15.04µm
_04324_,15.04µm
_05416_,15.04µm
_02753_,15.025µm
_01883_,15.02µm
_02555_,15.02µm
_02685_,15.02µm
_04807_,15µm
_00069_,14.98µm
_04224_,14.98µm
w10[1],14.98µm
_00662_,14.96µm
_00687_,14.96µm
_01681_,14.96µm
_03196_,14.96µm
_05814_,14.955µm
_01446_,14.94µm
_03436_,14.94µm
_04384_,14.94µm
_04420_,14.94µm
_06144_,14.94µm
net177,14.94µm
_04626_,14.92µm
net208,14.92µm
_00181_,14.9µm
_01328_,14.9µm
_02591_,14.9µm
_05748_,14.9µm
_00135_,14.88µm
_01361_,14.88µm
_02711_,14.88µm
_03166_,14.88µm
_03930_,14.88µm
_05198_,14.88µm
_06353_,14.88µm
_06729_,14.88µm
_00443_,14.86µm
_05940_,14.86µm
_01715_,14.84µm
_02028_,14.84µm
_02949_,14.84µm
_01754_,14.82µm
_03529_,14.82µm
_05753_,14.82µm
_06763_,14.8µm
y2[12],14.8µm
_03748_,14.79µm
_00145_,14.78µm
_01695_,14.78µm
_04048_,14.78µm
_04447_,14.78µm
_05779_,14.78µm
_04498_,14.76µm
_02176_,14.74µm
_04191_,14.74µm
_01022_,14.72µm
_02402_,14.72µm
_01366_,14.7µm
_03042_,14.7µm
_05869_,14.7µm
_02851_,14.68µm
_03568_,14.68µm
_04818_,14.68µm
_06525_,14.68µm
_00139_,14.66µm
_03165_,14.66µm
_00297_,14.64µm
_00427_,14.64µm
_01465_,14.64µm
_02722_,14.64µm
_02806_,14.64µm
_03214_,14.63µm
_00177_,14.61µm
_01487_,14.6µm
_06168_,14.6µm
net228,14.6µm
_03298_,14.58µm
_04616_,14.58µm
_02396_,14.56µm
_03000_,14.56µm
_04566_,14.56µm
_05421_,14.56µm
_00079_,14.54µm
_03784_,14.54µm
net164,14.54µm
_00186_,14.52µm
_03776_,14.52µm
_05781_,14.51µm
_02754_,14.5µm
_04662_,14.5µm
_00579_,14.48µm
_01449_,14.48µm
_03678_,14.48µm
_03959_,14.48µm
_05330_,14.48µm
_00470_,14.46µm
_02283_,14.46µm
_03097_,14.46µm
_03947_,14.46µm
_04762_,14.46µm
_04960_,14.46µm
_06528_,14.46µm
_00570_,14.44µm
_02109_,14.44µm
_04969_,14.44µm
_06119_,14.44µm
_01596_,14.42µm
_01690_,14.42µm
_04295_,14.42µm
_05806_,14.42µm
net245,14.42µm
_00097_,14.4µm
_00437_,14.4µm
_05253_,14.4µm
_04056_,14.38µm
_04424_,14.36µm
_04780_,14.36µm
_04997_,14.36µm
_05888_,14.36µm
_04844_,14.35µm
_00415_,14.34µm
_01661_,14.34µm
_06547_,14.34µm
net932,14.34µm
_02321_,14.32µm
_02964_,14.32µm
_03186_,14.32µm
_04526_,14.32µm
_04656_,14.32µm
_05257_,14.31µm
_00709_,14.3µm
_00837_,14.3µm
_00907_,14.3µm
_01422_,14.3µm
_03360_,14.3µm
_00869_,14.28µm
_02438_,14.28µm
_05735_,14.28µm
_00760_,14.26µm
net722,14.26µm
_01205_,14.24µm
_04752_,14.24µm
_01338_,14.22µm
_01721_,14.22µm
_02061_,14.22µm
_02507_,14.22µm
_02929_,14.22µm
_02950_,14.22µm
_04816_,14.22µm
_04889_,14.22µm
_01037_,14.215µm
_02514_,14.2µm
_02727_,14.2µm
_03683_,14.2µm
_04504_,14.2µm
_05912_,14.195µm
_00577_,14.185µm
_03573_,14.18µm
_04746_,14.18µm
_05901_,14.18µm
_06131_,14.18µm
_04607_,14.16µm
_04887_,14.16µm
_01129_,14.14µm
_01674_,14.14µm
_02580_,14.14µm
_03729_,14.14µm
_04547_,14.14µm
_06416_,14.14µm
_01770_,14.13µm
_04067_,14.12µm
_00881_,14.1µm
_01362_,14.1µm
_05012_,14.1µm
_05319_,14.1µm
net48,14.1µm
_00844_,14.08µm
_02589_,14.08µm
_02924_,14.08µm
_00171_,14.06µm
_01277_,14.06µm
_03634_,14.06µm
x1[0],14.06µm
_00050_,14.02µm
_01055_,14.02µm
_03671_,14.02µm
_04689_,14.005µm
_01958_,14µm
_03159_,14µm
_03562_,14µm
_03970_,14µm
_04305_,14µm
net190,14µm
_02043_,13.99µm
_03101_,13.99µm
_02444_,13.98µm
_02864_,13.98µm
_03304_,13.98µm
_03662_,13.98µm
_03902_,13.98µm
_04209_,13.98µm
_04248_,13.98µm
_05379_,13.98µm
_05511_,13.98µm
_00554_,13.96µm
_04104_,13.96µm
_04814_,13.96µm
_06059_,13.96µm
_00731_,13.945µm
_01001_,13.94µm
_05147_,13.94µm
_05183_,13.94µm
_05651_,13.94µm
_05717_,13.94µm
_00460_,13.92µm
_01132_,13.92µm
_01662_,13.92µm
_04306_,13.92µm
_04861_,13.92µm
_05371_,13.92µm
_02227_,13.905µm
_00154_,13.9µm
_04107_,13.9µm
_00220_,13.88µm
_01016_,13.88µm
_02191_,13.88µm
_03201_,13.88µm
_03536_,13.88µm
_03673_,13.88µm
_03895_,13.88µm
_04310_,13.88µm
_04380_,13.88µm
_04720_,13.88µm
_05098_,13.88µm
_05543_,13.88µm
_06386_,13.88µm
_00201_,13.86µm
_02701_,13.86µm
_06647_,13.86µm
_02114_,13.84µm
_03571_,13.84µm
_04426_,13.84µm
_04901_,13.84µm
_05242_,13.84µm
net173,13.84µm
_00090_,13.82µm
_00963_,13.82µm
_01186_,13.82µm
_01175_,13.8µm
_05770_,13.8µm
_03697_,13.78µm
_03987_,13.78µm
_04150_,13.78µm
x1[7],13.78µm
_02013_,13.76µm
_02216_,13.76µm
_02268_,13.76µm
_02738_,13.76µm
_04613_,13.76µm
_00160_,13.74µm
_01617_,13.74µm
_04398_,13.74µm
_04670_,13.74µm
_06385_,13.74µm
w12[0],13.74µm
w12[1],13.74µm
_01846_,13.72µm
_02153_,13.72µm
_04594_,13.72µm
_05489_,13.72µm
_06482_,13.72µm
_03266_,13.7µm
_05636_,13.7µm
_04523_,13.69µm
_03817_,13.68µm
_03868_,13.68µm
_04723_,13.68µm
net739,13.68µm
_04198_,13.675µm
_03702_,13.67µm
_01109_,13.66µm
_01256_,13.66µm
_02360_,13.66µm
_05195_,13.66µm
_06501_,13.66µm
_00357_,13.64µm
_00686_,13.64µm
_01201_,13.64µm
_01838_,13.64µm
_06758_,13.64µm
_05564_,13.62µm
w01[6],13.62µm
net931,13.62µm
_01225_,13.6µm
_02847_,13.6µm
_03483_,13.6µm
_05066_,13.6µm
_05516_,13.6µm
net644,13.6µm
_04974_,13.58µm
_06413_,13.58µm
_06778_,13.58µm
_01443_,13.56µm
_01268_,13.54µm
_01719_,13.54µm
_02017_,13.54µm
_02054_,13.54µm
_02100_,13.54µm
_02458_,13.54µm
_04845_,13.54µm
