Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_821,VGND,li1,383.8700,386.2400,0.000471
FILLER_138_813,VGND,li1,381.3400,386.2400,0.000471
FILLER_138_809,VGND,li1,378.3500,386.2400,0.000471
FILLER_138_797,VGND,li1,374.9000,386.2400,0.000471
FILLER_138_785,VGND,li1,369.3800,386.2400,0.000471
FILLER_138_781,VGND,li1,365.4700,386.2400,0.000471
FILLER_138_769,VGND,li1,362.0200,386.2400,0.000471
FILLER_138_757,VGND,li1,356.5000,386.2400,0.000471
FILLER_138_751,VGND,li1,351.2100,386.2400,0.000471
FILLER_138_747,VGND,li1,350.0600,386.2400,0.000469
FILLER_138_735,VGND,li1,346.3800,386.2400,0.000466
FILLER_138_729,VGND,li1,341.3200,386.2400,0.000457
FILLER_138_727,VGND,li1,340.1700,386.2400,0.000457
FILLER_138_713,VGND,li1,334.4200,386.2400,0.000446
FILLER_138_706,VGND,li1,331.2000,386.2400,0.000557
FILLER_138_701,VGND,li1,328.4400,386.2400,0.000663
FILLER_138_699,VGND,li1,327.2900,386.2400,0.000663
FILLER_138_694,VGND,li1,325.2200,386.2400,0.000740
FILLER_138_671,VGND,li1,314.4100,386.2400,0.001231
FILLER_138_665,VGND,li1,312.8000,386.2400,0.001231
FILLER_138_657,VGND,li1,308.6600,386.2400,0.001425
FILLER_138_650,VGND,li1,305.4400,386.2400,0.001512
FILLER_138_645,VGND,li1,302.6800,386.2400,0.001574
FILLER_138_643,VGND,li1,301.5300,386.2400,0.001574
FILLER_138_636,VGND,li1,299.0000,386.2400,0.001634
FILLER_138_630,VGND,li1,296.0100,386.2400,0.001705
FILLER_138_623,VGND,li1,292.7900,386.2400,0.001804
FILLER_138_617,VGND,li1,289.8000,386.2400,0.001850
FILLER_138_615,VGND,li1,288.6500,386.2400,0.001850
FILLER_138_609,VGND,li1,286.3500,386.2400,0.001891
FILLER_138_602,VGND,li1,283.1300,386.2400,0.001977
