Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_821,VPWR,li1,383.8700,388.9600,1.799876
FILLER_138_813,VPWR,li1,381.3400,388.9600,1.799876
FILLER_138_809,VPWR,li1,378.3500,388.9600,1.799876
FILLER_138_797,VPWR,li1,374.9000,388.9600,1.799876
FILLER_138_785,VPWR,li1,369.3800,388.9600,1.799876
FILLER_138_781,VPWR,li1,365.4700,388.9600,1.799876
FILLER_138_769,VPWR,li1,362.0200,388.9600,1.799876
FILLER_138_757,VPWR,li1,356.5000,388.9600,1.799876
FILLER_138_751,VPWR,li1,351.2100,388.9600,1.799878
FILLER_138_747,VPWR,li1,350.0600,388.9600,1.799878
FILLER_138_735,VPWR,li1,346.3800,388.9600,1.799882
FILLER_138_729,VPWR,li1,341.3200,388.9600,1.799891
FILLER_138_727,VPWR,li1,340.1700,388.9600,1.799891
FILLER_138_713,VPWR,li1,334.4200,388.9600,1.799903
FILLER_138_706,VPWR,li1,331.2000,388.9600,1.799910
FILLER_138_701,VPWR,li1,328.4400,388.9600,1.799903
FILLER_138_699,VPWR,li1,327.2900,388.9600,1.799903
FILLER_138_694,VPWR,li1,325.2200,388.9600,1.799890
FILLER_138_671,VPWR,li1,314.4100,388.9600,1.799829
FILLER_138_665,VPWR,li1,312.8000,388.9600,1.799829
FILLER_138_657,VPWR,li1,308.6600,388.9600,1.799809
FILLER_138_650,VPWR,li1,305.4400,388.9600,1.799799
FILLER_138_645,VPWR,li1,302.6800,388.9600,1.799792
FILLER_138_643,VPWR,li1,301.5300,388.9600,1.799792
FILLER_138_636,VPWR,li1,299.0000,388.9600,1.799784
FILLER_138_630,VPWR,li1,296.0100,388.9600,1.799775
FILLER_138_623,VPWR,li1,292.7900,388.9600,1.799766
FILLER_138_617,VPWR,li1,289.8000,388.9600,1.799760
FILLER_138_615,VPWR,li1,288.6500,388.9600,1.799756
FILLER_138_609,VPWR,li1,286.3500,388.9600,1.799751
FILLER_138_602,VPWR,li1,283.1300,388.9600,1.799746
FILLER_138_594,VPWR,li1,279.6800,388.9600,1.799744
FILLER_138_589,VPWR,li1,276.9200,388.9600,1.799743
FILLER_138_587,VPWR,li1,275.7700,388.9600,1.799741
FILLER_138_581,VPWR,li1,273.4700,388.9600,1.799740
FILLER_138_576,VPWR,li1,270.7100,388.9600,1.799739
FILLER_138_561,VPWR,li1,263.8100,388.9600,1.799737
FILLER_138_559,VPWR,li1,262.8900,388.9600,1.799737
FILLER_138_553,VPWR,li1,260.5900,388.9600,1.799736
FILLER_138_531,VPWR,li1,250.0100,388.9600,1.799737
FILLER_138_525,VPWR,li1,248.4000,388.9600,1.799737
FILLER_138_503,VPWR,li1,237.1300,388.9600,1.799747
FILLER_138_496,VPWR,li1,234.6000,388.9600,1.799751
FILLER_138_490,VPWR,li1,231.6100,388.9600,1.799755
FILLER_138_484,VPWR,li1,228.6200,388.9600,1.799760
FILLER_138_468,VPWR,li1,221.0300,388.9600,1.799775
FILLER_138_462,VPWR,li1,218.7300,388.9600,1.799781
FILLER_138_454,VPWR,li1,215.2800,388.9600,1.799785
FILLER_138_449,VPWR,li1,212.5200,388.9600,1.799791
FILLER_138_441,VPWR,li1,209.0700,388.9600,1.799802
FILLER_138_433,VPWR,li1,205.6200,388.9600,1.799808
FILLER_138_426,VPWR,li1,202.4000,388.9600,1.799819
FILLER_138_421,VPWR,li1,199.6400,388.9600,1.799828
FILLER_138_415,VPWR,li1,196.6500,388.9600,1.799842
FILLER_138_405,VPWR,li1,192.2800,388.9600,1.799853
FILLER_138_393,VPWR,li1,189.0600,388.9600,1.799865
FILLER_138_390,VPWR,li1,185.3800,388.9600,1.799879
FILLER_138_382,VPWR,li1,183.0800,388.9600,1.799887
FILLER_138_370,VPWR,li1,178.4800,388.9600,1.799904
FILLER_138_365,VPWR,li1,173.8800,388.9600,1.799906
FILLER_138_363,VPWR,li1,172.7300,388.9600,1.799906
FILLER_138_355,VPWR,li1,169.0500,388.9600,1.799882
FILLER_138_349,VPWR,li1,167.4400,388.9600,1.799882
FILLER_138_337,VPWR,li1,163.3000,388.9600,1.799863
FILLER_138_335,VPWR,li1,159.8500,388.9600,1.799840
FILLER_138_329,VPWR,li1,158.2400,388.9600,1.799840
FILLER_138_322,VPWR,li1,154.3300,388.9600,1.799822
FILLER_138_315,VPWR,li1,151.1100,388.9600,1.799810
FILLER_138_309,VPWR,li1,148.1200,388.9600,1.799803
FILLER_138_301,VPWR,li1,144.6700,388.9600,1.799798
FILLER_138_294,VPWR,li1,141.4500,388.9600,1.799797
FILLER_138_287,VPWR,li1,138.2300,388.9600,1.799799
FILLER_138_281,VPWR,li1,135.2400,388.9600,1.799804
FILLER_138_277,VPWR,li1,133.6300,388.9600,1.799804
FILLER_138_265,VPWR,li1,130.1800,388.9600,1.799809
FILLER_138_253,VPWR,li1,124.6600,388.9600,1.799818
FILLER_138_249,VPWR,li1,120.7500,388.9600,1.799825
FILLER_138_237,VPWR,li1,117.3000,388.9600,1.799830
FILLER_138_225,VPWR,li1,111.7800,388.9600,1.799839
FILLER_138_221,VPWR,li1,107.8700,388.9600,1.799845
FILLER_138_209,VPWR,li1,104.4200,388.9600,1.799851
FILLER_138_197,VPWR,li1,98.9000,388.9600,1.799860
FILLER_138_193,VPWR,li1,94.9900,388.9600,1.799866
FILLER_138_181,VPWR,li1,91.5400,388.9600,1.799871
FILLER_138_169,VPWR,li1,86.0200,388.9600,1.799880
FILLER_138_165,VPWR,li1,82.1100,388.9600,1.799887
FILLER_138_153,VPWR,li1,78.6600,388.9600,1.799892
FILLER_138_141,VPWR,li1,73.1400,388.9600,1.799901
FILLER_138_137,VPWR,li1,69.2300,388.9600,1.799907
FILLER_138_125,VPWR,li1,65.7800,388.9600,1.799913
FILLER_138_113,VPWR,li1,60.2600,388.9600,1.799922
FILLER_138_109,VPWR,li1,56.3500,388.9600,1.799928
FILLER_138_97,VPWR,li1,52.9000,388.9600,1.799934
FILLER_138_85,VPWR,li1,47.3800,388.9600,1.799942
FILLER_138_81,VPWR,li1,43.4700,388.9600,1.799949
FILLER_138_69,VPWR,li1,40.0200,388.9600,1.799954
FILLER_138_57,VPWR,li1,34.5000,388.9600,1.799963
FILLER_138_53,VPWR,li1,30.5900,388.9600,1.799969
FILLER_138_41,VPWR,li1,27.1400,388.9600,1.799975
FILLER_138_29,VPWR,li1,21.6200,388.9600,1.799984
FILLER_138_27,VPWR,li1,18.1700,388.9600,1.799984
FILLER_138_15,VPWR,li1,15.1800,388.9600,1.799984
FILLER_138_3,VPWR,li1,9.6600,388.9600,1.799984
FILLER_137_821,VPWR,li1,383.8700,383.5200,1.798403
FILLER_137_809,VPWR,li1,380.4200,383.5200,1.798403
FILLER_137_797,VPWR,li1,374.9000,383.5200,1.798403
FILLER_137_785,VPWR,li1,369.3800,383.5200,1.798403
FILLER_137_783,VPWR,li1,365.9300,383.5200,1.798403
FILLER_137_777,VPWR,li1,364.3200,383.5200,1.798403
FILLER_137_765,VPWR,li1,360.1800,383.5200,1.798403
FILLER_137_753,VPWR,li1,354.6600,383.5200,1.798403
FILLER_137_741,VPWR,li1,349.1400,383.5200,1.798403
FILLER_137_729,VPWR,li1,343.6200,383.5200,1.798408
FILLER_137_725,VPWR,li1,339.7100,383.5200,1.798412
FILLER_137_717,VPWR,li1,337.1800,383.5200,1.798415
FILLER_137_705,VPWR,li1,332.5800,383.5200,1.798427
FILLER_137_693,VPWR,li1,327.0600,383.5200,1.798123
FILLER_137_664,VPWR,li1,312.8000,383.5200,1.796160
FILLER_137_615,VPWR,li1,288.6500,383.5200,1.793174
FILLER_137_609,VPWR,li1,287.0400,383.5200,1.793174
FILLER_137_575,VPWR,li1,270.4800,383.5200,1.793120
FILLER_137_551,VPWR,li1,259.4400,383.5200,1.793535
FILLER_137_523,VPWR,li1,246.5600,383.5200,1.793976
FILLER_137_456,VPWR,li1,217.1200,383.5200,1.795004
FILLER_137_446,VPWR,li1,211.1400,383.5200,1.795201
FILLER_137_418,VPWR,li1,198.0300,383.5200,1.795910
FILLER_137_399,VPWR,li1,189.5200,383.5200,1.797020
FILLER_137_379,VPWR,li1,181.2400,383.5200,1.797925
FILLER_137_364,VPWR,li1,173.1900,383.5200,1.798354
FILLER_137_356,VPWR,li1,169.5100,383.5200,1.798151
FILLER_137_344,VPWR,li1,166.5200,383.5200,1.798064
FILLER_137_332,VPWR,li1,159.1600,383.5200,1.797746
FILLER_137_326,VPWR,li1,156.1700,383.5200,1.797641
FILLER_137_298,VPWR,li1,144.4400,383.5200,1.797168
FILLER_137_287,VPWR,li1,137.7700,383.5200,1.797136
FILLER_137_281,VPWR,li1,136.1600,383.5200,1.797136
FILLER_137_278,VPWR,li1,133.8600,383.5200,1.797186
FILLER_137_270,VPWR,li1,131.5600,383.5200,1.797226
FILLER_137_260,VPWR,li1,125.8100,383.5200,1.797382
FILLER_137_249,VPWR,li1,120.2900,383.5200,1.797474
FILLER_137_239,VPWR,li1,116.1500,383.5200,1.797580
FILLER_137_207,VPWR,li1,101.2000,383.5200,1.797902
FILLER_137_198,VPWR,li1,97.0600,383.5200,1.798023
FILLER_137_186,VPWR,li1,93.8400,383.5200,1.798071
FILLER_137_169,VPWR,li1,86.0200,383.5200,1.798251
FILLER_137_167,VPWR,li1,82.5700,383.5200,1.798369
FILLER_137_161,VPWR,li1,80.9600,383.5200,1.798369
FILLER_137_149,VPWR,li1,76.8200,383.5200,1.798465
FILLER_137_137,VPWR,li1,71.3000,383.5200,1.798620
FILLER_137_125,VPWR,li1,65.7800,383.5200,1.798721
FILLER_137_113,VPWR,li1,60.2600,383.5200,1.798849
FILLER_137_111,VPWR,li1,56.8100,383.5200,1.798967
FILLER_137_105,VPWR,li1,55.2000,383.5200,1.798967
FILLER_137_93,VPWR,li1,51.0600,383.5200,1.799063
FILLER_137_81,VPWR,li1,45.5400,383.5200,1.799218
FILLER_137_69,VPWR,li1,40.0200,383.5200,1.799319
FILLER_137_57,VPWR,li1,34.5000,383.5200,1.799447
FILLER_137_55,VPWR,li1,31.0500,383.5200,1.799554
FILLER_137_51,VPWR,li1,29.9000,383.5200,1.799554
FILLER_137_39,VPWR,li1,26.2200,383.5200,1.799640
FILLER_137_27,VPWR,li1,20.7000,383.5200,1.799768
FILLER_137_15,VPWR,li1,15.1800,383.5200,1.799768
FILLER_137_3,VPWR,li1,9.6600,383.5200,1.799768
FILLER_136_821,VPWR,li1,383.8700,383.5200,1.798403
FILLER_136_813,VPWR,li1,381.3400,383.5200,1.798403
FILLER_136_811,VPWR,li1,378.8100,383.5200,1.798403
FILLER_136_805,VPWR,li1,377.2000,383.5200,1.798403
FILLER_136_793,VPWR,li1,373.0600,383.5200,1.798403
FILLER_136_781,VPWR,li1,367.5400,383.5200,1.798403
FILLER_136_769,VPWR,li1,362.0200,383.5200,1.798403
FILLER_136_757,VPWR,li1,356.5000,383.5200,1.798403
FILLER_136_754,VPWR,li1,352.8200,383.5200,1.798403
FILLER_136_713,VPWR,li1,333.7300,383.5200,1.798427
FILLER_136_701,VPWR,li1,330.7400,383.5200,1.798432
FILLER_136_692,VPWR,li1,325.6800,383.5200,1.798123
FILLER_136_680,VPWR,li1,321.0800,383.5200,1.797206
FILLER_136_649,VPWR,li1,304.2900,383.5200,1.794790
FILLER_136_645,VPWR,li1,303.1400,383.5200,1.794790
