net,length_um
net448,680.7µm
clknet_0_clk,602.32µm
net534,569.765µm
net153,533µm
net543,516.11µm
net719,509.75µm
net482,502.92µm
net551,483.24µm
net559,480.47µm
net635,477.91µm
net465,463.82µm
net491,462.51µm
_00436_,457.63µm
net441,453.22µm
net147,448.635µm
net146,440.07µm
_01355_,437.875µm
net460,436.73µm
net261,432.05µm
net563,429.79µm
net626,416.72µm
net265,403.18µm
_00342_,401.24µm
net456,397.05µm
net525,396.1µm
net473,396.09µm
net452,384.4µm
net562,366.18µm
net469,365.77µm
net262,363.26µm
net518,359.99µm
net432,359.43µm
net533,354.685µm
net641,350.45µm
net528,350.13µm
net263,346.41µm
net587,342.91µm
net532,342.54µm
net137,341.78µm
net617,335.48µm
net552,333.38µm
net564,332.93µm
_06762_,332.415µm
clk,329.56µm
_01376_,328.99µm
net555,327.86µm
net566,327.1µm
net653,324.78µm
net542,322.555µm
net499,319.01µm
net601,316.705µm
net636,316.69µm
net715,314.4µm
net486,310.34µm
net560,308.6µm
clknet_3_5__leaf_clk,307.24µm
net259,303.79µm
net648,303.585µm
net440,302.71µm
net550,300.18µm
net522,299.89µm
net119,298.12µm
net657,292.36µm
net420,290.27µm
net576,289.53µm
net567,289.33µm
net718,289.25µm
_00259_,288.58µm
net597,284.06µm
net141,283.86µm
net546,282.97µm
net1,282.14µm
net427,278.23µm
net612,276.56µm
net513,276.11µm
net650,275.56µm
net521,273.92µm
net541,273.375µm
net457,272.275µm
net652,270.26µm
net70,270.18µm
net599,264.03µm
net502,263.36µm
net531,262.94µm
net4,261.02µm
net461,260.21µm
net72,258.78µm
net31,258.46µm
net439,258.44µm
net411,257.9µm
clknet_3_0__leaf_clk,257.82µm
net592,256.62µm
net606,256.525µm
net416,255.78µm
net506,255.58µm
net149,254.94µm
net554,254.88µm
net558,252.67µm
net466,251.94µm
net257,251.63µm
net593,251.36µm
net535,250.575µm
net547,250.335µm
net607,248.43µm
net472,247.48µm
net453,246.94µm
net714,246.66µm
net644,245.06µm
net655,244.92µm
net638,244.25µm
net485,243.32µm
net449,242.135µm
net476,241.65µm
net615,240.11µm
net102,238.53µm
net510,238.43µm
net320,238.155µm
net602,236.985µm
net639,236.67µm
net598,236.025µm
net516,235.18µm
net523,234.75µm
net600,233.77µm
net708,233.165µm
net160,232.68µm
net264,232.59µm
_00108_,232.04µm
net489,230.57µm
net117,230.42µm
net71,229.56µm
net520,228.4µm
net478,228.35µm
clknet_3_1__leaf_clk,228.22µm
net104,227.94µm
net494,227.455µm
net509,227.42µm
net706,227.385µm
net537,226.935µm
net338,226.82µm
net435,226.11µm
net445,225.66µm
net410,224.94µm
net443,224.81µm
net6,224.55µm
net161,222.68µm
net497,222.18µm
net548,221.32µm
net266,220.92µm
