net,length_um
net620,220.71µm
net583,220.44µm
net604,220.12µm
net353,219.95µm
net30,219.48µm
net527,219.25µm
net709,219.09µm
net428,218.425µm
net539,218.4µm
net634,218.19µm
net370,217.985µm
net446,217.62µm
net101,217.32µm
net256,216.7µm
net114,215.62µm
net319,215.24µm
net669,214.815µm
net113,214.725µm
net629,214.18µm
net611,214.125µm
net279,214.06µm
net5,213.92µm
net553,213.56µm
net430,212.18µm
_06694_,211.5µm
net477,211.1µm
net561,210.94µm
net613,210.795µm
net649,210.22µm
clknet_3_4__leaf_clk,209.13µm
net317,209.04µm
net322,208.74µm
net418,207.995µm
net464,207.93µm
net132,207.84µm
net498,207.69µm
net333,207.68µm
net335,207.57µm
net303,207.47µm
net667,207.01µm
net276,206.83µm
net480,206.44µm
net442,206.25µm
net69,206.19µm
net511,205.34µm
net125,205.3µm
net23,204.92µm
net422,204.845µm
net369,204.78µm
net605,204.66µm
net383,204.58µm
net381,204.275µm
net90,204.03µm
_00104_,203.77µm
net507,203.77µm
net618,203.5µm
net505,203.33µm
net112,203.29µm
net389,203.06µm
_00261_,202.77µm
net24,202.27µm
net471,202.14µm
net393,201.99µm
net384,201.845µm
net627,201.72µm
net281,201.37µm
net710,200.78µm
net25,200.73µm
net156,200.56µm
net677,200.26µm
net316,199.96µm
net421,199.91µm
net632,199.845µm
net103,199.78µm
clknet_3_7__leaf_clk,199.74µm
net672,199.34µm
net323,199.22µm
net398,197.53µm
net341,197.43µm
net688,196.005µm
net278,195.82µm
net408,195.75µm
net368,195.405µm
net7,195.32µm
net308,195.02µm
net66,194.82µm
net397,194.82µm
net689,194.395µm
net658,193.52µm
_05315_,193.44µm
net574,193.3µm
net671,192.845µm
net404,192.65µm
net415,192.62µm
net356,192.57µm
net666,191.845µm
net304,191.68µm
net336,191.06µm
net354,190.71µm
net529,190.32µm
net110,189.83µm
net581,189.5µm
net544,189.19µm
net500,189.03µm
net622,188.55µm
_05316_,188.5µm
net275,188µm
net363,187.455µm
net414,186.96µm
net344,186.91µm
_00231_,186.83µm
net633,186.68µm
net377,185.73µm
net301,185.705µm
net325,185.3µm
net357,184.385µm
net659,184.37µm
net568,183.64µm
net105,183.61µm
net339,183.42µm
net717,183.2µm
net22,183.16µm
net624,182.75µm
net413,182.46µm
net372,182.33µm
net572,181.81µm
net293,181.52µm
net41,181µm
net120,180.9µm
net330,180.525µm
net388,180.07µm
net396,180.01µm
_00685_,179.82µm
net693,179.74µm
net391,179.715µm
net8,179.27µm
net73,179.26µm
net93,179.07µm
net591,178.97µm
net681,178.1µm
net288,177.76µm
net514,177.72µm
net695,177.22µm
net68,176.94µm
net674,176.82µm
net109,176.61µm
net121,176.49µm
net269,176.41µm
net503,176.26µm
net631,175.215µm
net327,175.185µm
net299,175.02µm
net373,174.79µm
clknet_3_2__leaf_clk,173.36µm
net100,172.82µm
net654,172.32µm
net346,171.55µm
net569,171.01µm
net640,170.8µm
net608,170.195µm
net374,169.96µm
net412,169.66µm
net310,169.485µm
net29,169.35µm
net290,169.08µm
net675,169.04µm
net17,169µm
net283,168.11µm
net664,168.08µm
net400,167.8µm
net426,167.225µm
_03455_,166.6µm
net682,166.35µm
net406,165.27µm
net111,165.21µm
net267,164.805µm
net571,164.64µm
net258,164.54µm
net691,164.335µm
net686,164.12µm
net58,164µm
net704,163.595µm
net364,163.53µm
net118,163.36µm
net684,162.83µm
net630,162.15µm
net130,161.98µm
net311,161.56µm
net565,161.48µm
net355,160.94µm
net623,160.85µm
net656,160.455µm
net96,159.52µm
net291,158.21µm
net38,158.19µm
net61,157.8µm
_01610_,157.28µm
net295,157.175µm
_05285_,157µm
net417,156.78µm
_06633_,156.5µm
net92,156.3µm
net349,156.25µm
net395,156.04µm
net402,155.86µm
net637,155.48µm
net297,155.37µm
_01611_,155.28µm
net556,155.2µm
net36,155.14µm
net272,153.225µm
net254,153.12µm
net40,153.08µm
net352,152.15µm
net247,152.06µm
net702,151.91µm
net347,151.73µm
_06659_,151.72µm
net351,151.69µm
net136,151.22µm
net697,150.855µm
_03457_,150.64µm
net582,150.42µm
net712,149.63µm
net37,149.34µm
net619,148.41µm
net32,148.4µm
net487,148.15µm
net255,146.94µm
net621,145.84µm
_06658_,145.57µm
net651,144.79µm
net437,143.395µm
net126,143.29µm
net628,142.7µm
net484,142.485µm
_04303_,141.93µm
net252,141.835µm
net661,141.58µm
net407,141.55µm
net687,141.48µm
net578,141.46µm
net83,140.7µm
net462,140.16µm
net116,140.12µm
net251,139.98µm
net595,139.98µm
net588,139.48µm
net249,139.365µm
net379,139.32µm
net375,138.72µm
net680,138.69µm
_01581_,138.36µm
net329,138.34µm
net625,138.24µm
net106,138µm
net386,137.62µm
net298,137.37µm
_05476_,137.31µm
net361,137.26µm
net366,137.225µm
_03427_,137.195µm
net348,137.1µm
net332,136.21µm
net64,136.14µm
net307,135.88µm
net74,135.22µm
net579,134.78µm
net26,134.6µm
net524,133.96µm
net711,132.835µm
net33,131.98µm
net87,131.58µm
net248,131.335µm
net65,131.315µm
net76,130.79µm
net585,130.34µm
_06174_,129.1µm
net129,129µm
net28,128.28µm
net459,127.735µm
net302,127.62µm
net580,127.61µm
net34,127.45µm
net18,126.985µm
net519,126.88µm
net589,126.69µm
net250,125.72µm
net260,125.48µm
net85,125.39µm
net545,125.315µm
net483,125.135µm
_06803_,125.04µm
net313,123.97µm
net343,123.79µm
net19,123.46µm
clknet_3_3__leaf_clk,123.2µm
net463,122.26µm
net647,121.535µm
net67,121.48µm
_03426_,121.32µm
net39,120.77µm
net665,120.7µm
net495,120.55µm
_03617_,120.52µm
net10,120.32µm
net15,120µm
_00676_,119.76µm
net91,119.56µm
net13,119.46µm
net470,118.92µm
net458,118.89µm
net82,118.56µm
net122,118.415µm
net97,117.92µm
net557,117.7µm
net670,117.68µm
net540,117.625µm
net88,117.58µm
net610,117.39µm
_01365_,117.28µm
net81,117.1µm
net54,116.82µm
net701,116.725µm
net274,116.68µm
net488,116.44µm
net609,116.38µm
net700,116.125µm
net270,116.01µm
net467,115.96µm
net451,115.6µm
_01768_,115.54µm
net434,115.1µm
net454,114.37µm
net14,113.84µm
net108,113.13µm
net474,113.02µm
net526,112.61µm
net35,112.6µm
net713,111.79µm
net493,111.62µm
net115,111.27µm
net123,111.18µm
net16,110.96µm
net49,110.72µm
net60,110.56µm
net167,109.74µm
net690,109.67µm
_00044_,109.645µm
net9,109.62µm
net331,109.575µm
net59,108.94µm
net501,108.915µm
net433,108.71µm
net496,108µm
_01726_,107.96µm
net305,107.72µm
net549,107.68µm
_00553_,107.6µm
net286,107.48µm
net98,107.44µm
net21,106.91µm
net359,106.815µm
_06164_,106.68µm
net646,106.68µm
net360,106.55µm
_00377_,106.52µm
net367,106.24µm
net169,106.02µm
_02057_,105.74µm
net246,105.72µm
net642,105.63µm
_04298_,105.59µm
net424,105.44µm
net3,105.095µm
net705,105.04µm
clknet_3_6__leaf_clk,104.59µm
net62,104.12µm
net124,104.08µm
net219,103.92µm
net450,103.68µm
net168,103.6µm
net2,103.52µm
net362,103.46µm
_06804_,103.42µm
_02056_,103.18µm
net306,103.17µm
net663,103.115µm
net51,103.02µm
net423,103µm
net475,102.9µm
net57,102.38µm
net166,102.38µm
net492,102.02µm
net53,100.88µm
net99,100.7µm
_01387_,100.1µm
net131,100.1µm
net438,100.045µm
_06801_,99.86µm
net455,99.1µm
net94,98.82µm
net575,98.615µm
net645,98.41µm
_05826_,98.38µm
net577,98.275µm
net342,98.14µm
net573,98.06µm
net703,97.825µm
net570,97.78µm
_06026_,97.58µm
net127,97.55µm
net444,96.88µm
net530,96.58µm
net287,96.48µm
net220,96.38µm
net284,96.04µm
net218,96.02µm
net55,93.44µm
net447,92.96µm
net77,92.56µm
net643,91.98µm
net80,91.7µm
net596,90.94µm
net515,90.54µm
net79,88.95µm
_03964_,88.9µm
net504,88.86µm
net394,88.66µm
net431,88.5µm
_01893_,88.48µm
net159,88.48µm
_06408_,88.14µm
net277,87.4µm
net590,87.38µm
net337,87.04µm
net158,86.7µm
net425,86.665µm
net481,85.62µm
net50,85.5µm
net385,84.84µm
net27,84.63µm
_02122_,84.53µm
net157,82.62µm
net89,82.12µm
net324,81.51µm
net716,80.71µm
_03836_,80.52µm
net63,80.52µm
_02454_,78.67µm
net42,78.42µm
net52,78.33µm
net285,78.17µm
net679,77.93µm
_00258_,77.88µm
net345,77.86µm
net594,77.6µm
net358,76.925µm
net699,76.635µm
net490,76.61µm
net296,76.6µm
net20,75.7µm
_02235_,75.24µm
net584,74.9µm
net280,74.32µm
_01857_,74µm
_00482_,73.94µm
net135,73.92µm
net128,73.8µm
net56,73.78µm
net334,73.31µm
_05603_,72.965µm
net382,72.66µm
net429,72.28µm
net314,71.51µm
net683,71.29µm
net678,71.11µm
net614,70.775µm
net326,70.58µm
_01508_,70.56µm
_05946_,70.1µm
net392,70.1µm
net312,69.655µm
net134,69.52µm
net11,69.24µm
_05971_,69.1µm
_02682_,68.95µm
net409,68.72µm
net468,68.66µm
_00423_,68.2µm
net282,67.92µm
_00174_,67.805µm
net84,67.48µm
net289,67.04µm
net536,66.935µm
net698,66.54µm
net673,66.4µm
_05528_,66.2µm
net318,66.02µm
net148,65.86µm
net692,65.85µm
_00260_,65.76µm
net479,65.4µm
_02519_,65.12µm
net660,65.02µm
_03745_,64.54µm
net292,63.7µm
net12,63.32µm
net95,62.96µm
_02317_,62.84µm
_02447_,62.81µm
_05887_,62.78µm
_04080_,62.68µm
net508,62.3µm
net694,62.24µm
_02336_,62.19µm
_01051_,62.06µm
net321,61.98µm
_03901_,61.64µm
net676,61.42µm
_02492_,61.26µm
net662,60.94µm
net154,60.88µm
net517,60.7µm
_04725_,60.52µm
_06293_,60.48µm
_05877_,60.4µm
_00504_,60.14µm
net133,59.44µm
_01285_,58.94µm
net403,58.58µm
net86,58.5µm
_01991_,58.34µm
_00319_,58.2µm
net155,57.44µm
_04212_,57.24µm
net300,57.12µm
_04369_,57.1µm
_04105_,57.04µm
net268,56.94µm
net350,56.86µm
net668,56.74µm
_06798_,56.63µm
_06013_,56.5µm
net399,56.36µm
net43,56.28µm
net273,56.26µm
_00429_,55.9µm
_00959_,55.85µm
_00675_,55.62µm
net150,55.56µm
net685,55.56µm
_03108_,55.38µm
_03669_,54.97µm
_03365_,54.86µm
net152,54.8µm
net294,54.7µm
net371,54.04µm
_06327_,53.92µm
net387,53.9µm
_04461_,53.66µm
_03428_,53.4µm
net390,53.1µm
_02887_,52.86µm
net315,52.82µm
_04078_,52.7µm
net340,52.64µm
_04147_,52.56µm
net380,52.56µm
net47,52.42µm
_05714_,52.4µm
_04685_,52.15µm
_00783_,51.92µm
net309,51.89µm
_01989_,51.66µm
_02951_,51.38µm
_05761_,51.22µm
_02913_,51.18µm
net151,51.02µm
net45,50.98µm
_06239_,50.96µm
_02363_,50.78µm
_03508_,50.74µm
_00446_,50.7µm
_04160_,50.68µm
net44,50.56µm
_05373_,50.38µm
_02262_,50.22µm
net512,50.22µm
_06522_,50.08µm
_02829_,50.02µm
net707,49.78µm
net376,49.7µm
_02493_,49.56µm
_04659_,49µm
_06316_,48.92µm
_04529_,48.9µm
net401,48.89µm
_00598_,48.88µm
_02033_,48.8µm
_00851_,48.695µm
_06420_,48.66µm
_06695_,48.5µm
_05722_,48.36µm
_00304_,48.16µm
_05945_,48.12µm
_04695_,47.56µm
_01894_,47.48µm
_06708_,47.4µm
_05226_,47.36µm
net419,47.34µm
_06076_,47.32µm
_01919_,47.05µm
net271,47.02µm
_04350_,46.98µm
_06634_,46.96µm
_02629_,46.9µm
_00884_,46.86µm
_04664_,46.71µm
_02335_,46.66µm
_06442_,46.58µm
_06215_,46.5µm
_02859_,46.37µm
_06670_,46.28µm
_02007_,46.26µm
_04543_,46.22µm
_02520_,46.08µm
_05570_,46µm
_06046_,45.99µm
_03612_,45.92µm
_00568_,45.8µm
_05354_,45.68µm
_06315_,45.68µm
net538,45.68µm
_03690_,45.1µm
_05329_,45.02µm
_00925_,44.88µm
_02844_,44.7µm
_00481_,44.58µm
_06146_,44.58µm
_01624_,44.56µm
net586,44.48µm
_04615_,44.315µm
_06548_,44.18µm
_00537_,44.1µm
_05072_,43.96µm
_03854_,43.865µm
_02720_,43.76µm
_01222_,43.72µm
_05531_,43.72µm
_06549_,43.5µm
_01763_,43.46µm
_03332_,43.23µm
_00083_,43.22µm
_00125_,43.175µm
_05368_,43.1µm
_04610_,43.09µm
_01334_,43.06µm
_06009_,43.02µm
_00743_,42.84µm
_04010_,42.76µm
_02596_,42.74µm
_05288_,42.72µm
_06333_,42.7µm
net365,42.56µm
_00924_,42.36µm
net436,42.315µm
_01869_,42.04µm
_06357_,42.04µm
_03462_,41.94µm
_01547_,41.92µm
_03331_,41.76µm
_04492_,41.72µm
_04142_,41.6µm
_01140_,41.48µm
_02333_,41.48µm
_03894_,41.42µm
_02747_,41.34µm
_06392_,41.24µm
_03470_,41.16µm
_06216_,41.16µm
_05844_,41.1µm
_04370_,41.08µm
_00116_,40.88µm
_04163_,40.86µm
_05548_,40.72µm
_00995_,40.64µm
_05552_,40.62µm
_02798_,40.6µm
_00411_,40.58µm
_02515_,40.52µm
_06635_,40.46µm
_02190_,40.22µm
_04986_,40.18µm
_02302_,40.16µm
_03879_,40.14µm
_01489_,40µm
_04347_,39.82µm
_06151_,39.8µm
_05193_,39.78µm
_05896_,39.72µm
_00999_,39.68µm
_01522_,39.68µm
_03048_,39.64µm
_03982_,39.48µm
_04745_,39.44µm
_06331_,39.42µm
_00750_,39.4µm
_00299_,39.28µm
_04452_,39.14µm
net616,39.02µm
_04467_,38.92µm
_02466_,38.72µm
_00298_,38.48µm
_04161_,38.46µm
_00660_,38.34µm
_03123_,38.32µm
_01820_,38.29µm
_06474_,38.22µm
_03676_,38.2µm
_05506_,38.2µm
_01100_,38.14µm
_02792_,38.04µm
_03391_,37.98µm
_00723_,37.8µm
_01828_,37.8µm
_05739_,37.78µm
_01608_,37.72µm
_03691_,37.68µm
_05718_,37.66µm
_02462_,37.62µm
_03083_,37.62µm
_00996_,37.58µm
_01509_,37.58µm
_04058_,37.4µm
_06288_,37.4µm
_02828_,37.36µm
_00117_,37.26µm
_02427_,37.24µm
_00545_,37.22µm
_06244_,37.16µm
_05507_,37.02µm
_06735_,37µm
_01648_,36.98µm
_03181_,36.92µm
_01680_,36.91µm
_04576_,36.88µm
_05872_,36.86µm
_01027_,36.84µm
_05540_,36.84µm
_01616_,36.82µm
_00107_,36.7µm
_03997_,36.64µm
_06319_,36.62µm
_06558_,36.6µm
_05863_,36.58µm
net75,36.58µm
_03738_,36.48µm
_03858_,36.48µm
_03049_,36.36µm
_04577_,36.34µm
_00112_,36.32µm
_04773_,36.32µm
_06179_,36.3µm
_01273_,36.18µm
_03082_,36.18µm
_01993_,36.14µm
_05112_,36.1µm
_00399_,35.98µm
_04279_,35.98µm
_05709_,35.98µm
_02556_,35.9µm
_01827_,35.84µm
_02168_,35.84µm
_06494_,35.74µm
_00126_,35.72µm
_00726_,35.72µm
_02769_,35.72µm
_01841_,35.7µm
_01228_,35.66µm
_00450_,35.64µm
_01668_,35.58µm
_05047_,35.52µm
_02187_,35.42µm
_05705_,35.38µm
_05045_,35.33µm
_04491_,35.32µm
_04454_,35.3µm
net107,35.28µm
_00819_,35.26µm
_05514_,35.26µm
_05541_,35.26µm
_05194_,35.24µm
_01543_,35.18µm
_02635_,35.08µm
_04663_,35.06µm
_05859_,35.02µm
_04028_,34.99µm
_00239_,34.9µm
_05243_,34.835µm
_00852_,34.75µm
_02303_,34.685µm
_01583_,34.64µm
_01367_,34.6µm
_04972_,34.6µm
_01373_,34.585µm
_01833_,34.58µm
_00823_,34.56µm
_04374_,34.52µm
_01130_,34.44µm
_04812_,34.4µm
_02739_,34.36µm
_05592_,34.34µm
_00751_,34.26µm
_01663_,34.12µm
_04541_,34.1µm
_05424_,34µm
_00978_,33.98µm
_01832_,33.96µm
_00813_,33.94µm
_03992_,33.88µm
_06035_,33.88µm
_01339_,33.86µm
_01521_,33.84µm
_06809_,33.84µm
_00541_,33.76µm
_00084_,33.68µm
_00403_,33.64µm
_02716_,33.62µm
_00435_,33.6µm
_00690_,33.54µm
_05695_,33.54µm
_06597_,33.52µm
_05357_,33.5µm
_05251_,33.46µm
_05225_,33.42µm
_06444_,33.42µm
_01861_,33.38µm
_01652_,33.36µm
_06757_,33.36µm
_00236_,33.3µm
_05129_,33.3µm
_00215_,33.29µm
_00111_,33.26µm
_04987_,33.26µm
_06559_,33.24µm
_06662_,33.24µm
_02704_,33.21µm
_00419_,33.2µm
_06182_,33.19µm
_04694_,33.14µm
_00127_,33.1µm
_00279_,32.98µm
_05553_,32.96µm
_04644_,32.88µm
_02450_,32.8µm
_02816_,32.8µm
_05099_,32.77µm
_01119_,32.62µm
_04414_,32.62µm
_00151_,32.6µm
_03308_,32.6µm
_04964_,32.59µm
_00287_,32.58µm
_02819_,32.57µm
_06251_,32.54µm
_01018_,32.53µm
_01081_,32.42µm
_05549_,32.4µm
_01703_,32.39µm
_01842_,32.36µm
_01852_,32.28µm
_04779_,32.26µm
_02975_,32.22µm
_05363_,32.22µm
_01349_,32.16µm
_05534_,32.16µm
_04311_,32.14µm
_00407_,32.12µm
_04497_,32.12µm
_04549_,32.1µm
_04578_,32.08µm
_04283_,32.04µm
_03681_,32.02µm
_01500_,32.01µm
_02879_,32µm
_02570_,31.96µm
_05425_,31.96µm
_03845_,31.92µm
_00926_,31.9µm
_01722_,31.88µm
_02718_,31.84µm
_05433_,31.785µm
_01999_,31.76µm
_02426_,31.73µm
_00383_,31.72µm
_03540_,31.7µm
_04742_,31.7µm
_06318_,31.66µm
_00128_,31.64µm
_03352_,31.6µm
_03364_,31.58µm
_02326_,31.52µm
_05399_,31.5µm
_03993_,31.48µm
_02082_,31.455µm
_04274_,31.45µm
_03840_,31.4µm
_06360_,31.36µm
_04650_,31.3µm
_06123_,31.3µm
_03493_,31.28µm
_03382_,31.27µm
_04410_,31.24µm
_06307_,31.24µm
_02016_,31.14µm
_01069_,31.12µm
_03221_,31.12µm
_04465_,31.12µm
_01843_,31.08µm
_04001_,31.08µm
_05385_,31.08µm
net405,31.035µm
_00283_,31.005µm
_03692_,30.96µm
_02150_,30.94µm
_06782_,30.84µm
_03677_,30.8µm
_00955_,30.785µm
_01223_,30.76µm
_06017_,30.76µm
_06359_,30.705µm
_06577_,30.7µm
_04496_,30.695µm
_00263_,30.68µm
_00106_,30.66µm
_02527_,30.66µm
_04673_,30.66µm
_06330_,30.66µm
_06155_,30.58µm
_05211_,30.56µm
_02146_,30.55µm
_00664_,30.54µm
_04381_,30.54µm
_04533_,30.54µm
_05470_,30.54µm
_02659_,30.475µm
_05596_,30.46µm
_01880_,30.42µm
_02172_,30.42µm
_00042_,30.34µm
_00461_,30.33µm
_00267_,30.32µm
_05843_,30.315µm
_06063_,30.29µm
_06601_,30.28µm
_04573_,30.26µm
_04958_,30.26µm
_00848_,30.24µm
_06698_,30.2µm
_00979_,30.16µm
_04569_,30.14µm
_02437_,30.1µm
_03453_,30.06µm
_00835_,30µm
_03725_,29.995µm
_02618_,29.965µm
_01262_,29.96µm
_04069_,29.89µm
_05893_,29.87µm
_05375_,29.865µm
_02225_,29.86µm
_01007_,29.84µm
_02012_,29.74µm
_04296_,29.68µm
_06753_,29.64µm
_00091_,29.6µm
_04073_,29.58µm
_01807_,29.54µm
_03720_,29.54µm
_04879_,29.54µm
_00567_,29.5µm
_03698_,29.5µm
_05535_,29.42µm
_04817_,29.38µm
_04151_,29.36µm
_03060_,29.35µm
_00754_,29.3µm
_05855_,29.28µm
_00271_,29.26µm
_01798_,29.26µm
_06657_,29.26µm
_05961_,29.22µm
_02494_,29.2µm
_04278_,29.2µm
_05480_,29.2µm
_00822_,29.18µm
_06737_,29.16µm
_00424_,29.12µm
_05386_,29.08µm
_04016_,29.04µm
_05550_,29.02µm
_02647_,28.985µm
_02425_,28.98µm
_02609_,28.92µm
_04138_,28.9µm
_04201_,28.885µm
_06099_,28.88µm
_04911_,28.86µm
net196,28.86µm
_04908_,28.84µm
_05041_,28.82µm
_00588_,28.8µm
_00755_,28.78µm
_01179_,28.78µm
_04299_,28.78µm
_03059_,28.74µm
_05184_,28.7µm
_01121_,28.62µm
_00847_,28.56µm
_05287_,28.56µm
net696,28.545µm
_01374_,28.54µm
_06716_,28.52µm
_02132_,28.46µm
_01963_,28.4µm
_02163_,28.4µm
_04376_,28.4µm
_04258_,28.36µm
_04718_,28.36µm
_03076_,28.32µm
_03910_,28.32µm
_05577_,28.26µm
_03682_,28.22µm
_05674_,28.2µm
_03643_,28.12µm
net378,28.115µm
_01506_,28.1µm
_02155_,28.1µm
_03929_,28.1µm
_05394_,28.04µm
_01082_,27.94µm
_04401_,27.92µm
_03887_,27.9µm
_03487_,27.89µm
_00710_,27.88µm
_03343_,27.88µm
_03208_,27.84µm
_00123_,27.82µm
_02423_,27.78µm
_03340_,27.76µm
_06593_,27.76µm
_02606_,27.74µm
_03147_,27.72µm
_03386_,27.66µm
_04112_,27.62µm
_00043_,27.58µm
_01279_,27.57µm
_01975_,27.56µm
_02159_,27.56µm
_03849_,27.52µm
_01490_,27.49µm
_01497_,27.48µm
_02294_,27.42µm
_03514_,27.42µm
_01774_,27.36µm
_04686_,27.36µm
_03189_,27.35µm
_03267_,27.32µm
_03820_,27.32µm
_00475_,27.3µm
_01686_,27.28µm
_01887_,27.28µm
_05407_,27.28µm
_05747_,27.2µm
_04459_,27.18µm
_05988_,27.18µm
_05701_,27.14µm
_06592_,27.11µm
_04419_,27.1µm
_02066_,27.08µm
_06014_,27.07µm
_04493_,27.06µm
_02785_,27.02µm
_02528_,27µm
_03710_,26.98µm
_05165_,26.96µm
_01693_,26.92µm
_03519_,26.915µm
_01422_,26.86µm
_01968_,26.86µm
_02080_,26.86µm
_05584_,26.86µm
_01000_,26.83µm
_02719_,26.8µm
_02511_,26.78µm
_02308_,26.76µm
_05512_,26.76µm
_06715_,26.66µm
_04183_,26.64µm
_04649_,26.64µm
_06770_,26.64µm
_01347_,26.62µm
_01872_,26.62µm
_01990_,26.6µm
_02483_,26.565µm
_01026_,26.56µm
_02261_,26.52µm
_04730_,26.52µm
_01251_,26.5µm
_01844_,26.5µm
_05263_,26.38µm
_03593_,26.26µm
_06279_,26.26µm
_02008_,26.22µm
_02234_,26.2µm
_03815_,26.2µm
_04313_,26.19µm
_03182_,26.18µm
_05437_,26.16µm
_00029_,26.14µm
_00946_,26.12µm
_05924_,26.11µm
_04264_,26.1µm
_04792_,26.1µm
_00722_,26.06µm
_06437_,26.02µm
_01358_,25.98µm
_02496_,25.97µm
_01847_,25.94µm
_03091_,25.94µm
_01094_,25.92µm
_05715_,25.92µm
_06085_,25.92µm
_06734_,25.92µm
_01221_,25.9µm
_03770_,25.9µm
_04621_,25.86µm
_05264_,25.86µm
_02003_,25.835µm
_00471_,25.78µm
_01501_,25.78µm
_06220_,25.78µm
_00740_,25.72µm
_02740_,25.7µm
_00770_,25.66µm
_02174_,25.64µm
_02298_,25.64µm
_01464_,25.62µm
_02230_,25.62µm
_03096_,25.62µm
_03672_,25.62µm
_05056_,25.62µm
_00434_,25.6µm
_01764_,25.56µm
_02428_,25.56µm
_03057_,25.56µm
_05551_,25.56µm
_02340_,25.54µm
_06094_,25.5µm
_00896_,25.48µm
_03622_,25.48µm
_06095_,25.465µm
_01584_,25.46µm
_00691_,25.42µm
_06511_,25.4µm
_00130_,25.36µm
_01468_,25.34µm
_03937_,25.34µm
_04970_,25.29µm
_01335_,25.26µm
_05678_,25.26µm
_00697_,25.2µm
_00316_,25.18µm
_04795_,25.18µm
_01232_,25.16µm
_02678_,25.14µm
_04717_,25.14µm
_00168_,25.1µm
_03695_,25.1µm
_04172_,25.1µm
_06799_,25.1µm
_02180_,25.06µm
_03328_,25.04µm
_02049_,25.02µm
_04148_,25.02µm
_06808_,25.02µm
_02128_,25µm
_06034_,24.98µm
_00345_,24.94µm
_00998_,24.92µm
_03497_,24.92µm
_06693_,24.92µm
_00132_,24.9µm
_00080_,24.88µm
_04922_,24.84µm
_05334_,24.8µm
_02063_,24.78µm
_02652_,24.76µm
_03898_,24.74µm
_00820_,24.72µm
_04005_,24.72µm
_04277_,24.72µm
_03671_,24.7µm
_03631_,24.66µm
_02895_,24.655µm
_04211_,24.64µm
_03195_,24.62µm
_05353_,24.62µm
_05792_,24.54µm
_06247_,24.54µm
_04768_,24.52µm
_05609_,24.5µm
_04545_,24.46µm
_00897_,24.44µm
_03176_,24.42µm
_02161_,24.38µm
_05040_,24.38µm
_05699_,24.36µm
_05546_,24.34µm
_01178_,24.32µm
_05530_,24.32µm
_00672_,24.3µm
_01394_,24.29µm
_03869_,24.28µm
_06428_,24.28µm
_06498_,24.26µm
_01582_,24.245µm
_02416_,24.24µm
_04486_,24.22µm
_01135_,24.2µm
_02449_,24.2µm
_03863_,24.2µm
_06534_,24.2µm
