Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_15,VPWR,li1,15.1800,388.9600,1.799989
FILLER_138_3,VPWR,li1,9.6600,388.9600,1.799989
FILLER_137_821,VPWR,li1,383.8700,383.5200,1.799157
FILLER_137_809,VPWR,li1,380.4200,383.5200,1.799157
FILLER_137_797,VPWR,li1,374.9000,383.5200,1.799157
FILLER_137_785,VPWR,li1,369.3800,383.5200,1.799157
FILLER_137_783,VPWR,li1,365.9300,383.5200,1.799157
FILLER_137_777,VPWR,li1,364.3200,383.5200,1.799157
FILLER_137_765,VPWR,li1,360.1800,383.5200,1.799157
FILLER_137_753,VPWR,li1,354.6600,383.5200,1.799157
FILLER_137_741,VPWR,li1,349.1400,383.5200,1.799157
FILLER_137_729,VPWR,li1,343.6200,383.5200,1.799160
FILLER_137_705,VPWR,li1,330.5100,383.5200,1.799175
FILLER_137_693,VPWR,li1,327.0600,383.5200,1.799014
FILLER_137_669,VPWR,li1,313.9500,383.5200,1.798062
FILLER_137_657,VPWR,li1,310.5000,383.5200,1.797812
FILLER_137_608,VPWR,li1,287.0400,383.5200,1.796390
FILLER_137_579,VPWR,li1,272.5500,383.5200,1.796363
FILLER_137_552,VPWR,li1,259.6700,383.5200,1.796503
FILLER_137_544,VPWR,li1,257.6000,383.5200,1.796529
FILLER_137_519,VPWR,li1,244.4900,383.5200,1.796699
FILLER_137_489,VPWR,li1,230.9200,383.5200,1.796881
FILLER_137_462,VPWR,li1,218.2700,383.5200,1.797078
FILLER_137_456,VPWR,li1,216.6600,383.5200,1.797078
FILLER_137_417,VPWR,li1,197.5700,383.5200,1.797599
FILLER_137_399,VPWR,li1,189.2900,383.5200,1.798197
FILLER_137_393,VPWR,li1,187.6800,383.5200,1.798197
FILLER_137_391,VPWR,li1,185.6100,383.5200,1.798332
FILLER_137_363,VPWR,li1,172.7300,383.5200,1.799000
FILLER_137_344,VPWR,li1,166.5200,383.5200,1.798813
FILLER_137_332,VPWR,li1,159.1600,383.5200,1.798594
FILLER_137_326,VPWR,li1,156.1700,383.5200,1.798521
FILLER_137_298,VPWR,li1,144.4400,383.5200,1.798194
FILLER_137_287,VPWR,li1,137.7700,383.5200,1.798166
FILLER_137_281,VPWR,li1,136.1600,383.5200,1.798166
FILLER_137_278,VPWR,li1,133.8600,383.5200,1.798198
FILLER_137_270,VPWR,li1,131.5600,383.5200,1.798223
FILLER_137_260,VPWR,li1,125.8100,383.5200,1.798323
FILLER_137_248,VPWR,li1,120.0600,383.5200,1.798384
FILLER_137_238,VPWR,li1,115.6900,383.5200,1.798452
FILLER_137_230,VPWR,li1,111.5500,383.5200,1.798505
FILLER_137_207,VPWR,li1,101.4300,383.5200,1.798650
FILLER_137_197,VPWR,li1,96.8300,383.5200,1.798731
FILLER_137_189,VPWR,li1,94.3000,383.5200,1.798761
FILLER_137_177,VPWR,li1,87.1700,383.5200,1.798859
FILLER_137_169,VPWR,li1,85.1000,383.5200,1.798890
FILLER_137_167,VPWR,li1,82.5700,383.5200,1.798952
FILLER_137_161,VPWR,li1,80.9600,383.5200,1.798952
FILLER_137_149,VPWR,li1,76.8200,383.5200,1.799013
FILLER_137_137,VPWR,li1,71.3000,383.5200,1.799113
FILLER_137_125,VPWR,li1,65.7800,383.5200,1.799178
FILLER_137_113,VPWR,li1,60.2600,383.5200,1.799261
FILLER_137_111,VPWR,li1,56.8100,383.5200,1.799336
FILLER_137_105,VPWR,li1,55.2000,383.5200,1.799336
FILLER_137_93,VPWR,li1,51.0600,383.5200,1.799398
FILLER_137_81,VPWR,li1,45.5400,383.5200,1.799497
FILLER_137_69,VPWR,li1,40.0200,383.5200,1.799563
FILLER_137_57,VPWR,li1,34.5000,383.5200,1.799645
FILLER_137_55,VPWR,li1,31.0500,383.5200,1.799714
FILLER_137_51,VPWR,li1,29.9000,383.5200,1.799714
FILLER_137_39,VPWR,li1,26.2200,383.5200,1.799768
FILLER_137_27,VPWR,li1,20.7000,383.5200,1.799851
FILLER_137_15,VPWR,li1,15.1800,383.5200,1.799851
FILLER_137_3,VPWR,li1,9.6600,383.5200,1.799851
FILLER_136_821,VPWR,li1,383.8700,383.5200,1.799157
FILLER_136_813,VPWR,li1,381.3400,383.5200,1.799157
FILLER_136_811,VPWR,li1,378.8100,383.5200,1.799157
FILLER_136_805,VPWR,li1,377.2000,383.5200,1.799157
FILLER_136_793,VPWR,li1,373.0600,383.5200,1.799157
FILLER_136_781,VPWR,li1,367.5400,383.5200,1.799157
FILLER_136_769,VPWR,li1,362.0200,383.5200,1.799157
FILLER_136_757,VPWR,li1,356.5000,383.5200,1.799157
FILLER_136_752,VPWR,li1,352.3600,383.5200,1.799157
FILLER_136_729,VPWR,li1,341.5500,383.5200,1.799162
FILLER_136_717,VPWR,li1,338.1000,383.5200,1.799164
FILLER_136_705,VPWR,li1,332.5800,383.5200,1.799171
FILLER_136_692,VPWR,li1,325.6800,383.5200,1.799014
FILLER_136_680,VPWR,li1,321.0800,383.5200,1.798534
FILLER_136_656,VPWR,li1,308.2000,383.5200,1.797634
FILLER_136_645,VPWR,li1,302.4500,383.5200,1.797079
FILLER_136_625,VPWR,li1,293.2500,383.5200,1.796658
FILLER_136_617,VPWR,li1,291.1800,383.5200,1.796568
FILLER_136_601,VPWR,li1,282.4400,383.5200,1.796298
FILLER_136_587,VPWR,li1,275.7700,383.5200,1.796305
FILLER_136_579,VPWR,li1,273.7000,383.5200,1.796330
FILLER_136_562,VPWR,li1,264.7300,383.5200,1.796457
FILLER_136_522,VPWR,li1,246.3300,383.5200,1.796675
FILLER_136_514,VPWR,li1,243.8000,383.5200,1.796724
FILLER_136_507,VPWR,li1,238.9700,383.5200,1.796773
FILLER_136_498,VPWR,li1,235.0600,383.5200,1.796825
FILLER_136_484,VPWR,li1,228.6200,383.5200,1.796913
FILLER_136_468,VPWR,li1,221.0300,383.5200,1.797017
FILLER_136_449,VPWR,li1,213.9000,383.5200,1.797120
FILLER_136_437,VPWR,li1,209.3000,383.5200,1.797182
FILLER_136_419,VPWR,li1,198.4900,383.5200,1.797599
FILLER_136_413,VPWR,li1,196.8800,383.5200,1.797599
FILLER_136_404,VPWR,li1,192.0500,383.5200,1.797913
